Name,Father Name,Roll Number,Mathematics*,Science*,English*,Urdu*,Islamiat*,Pakistan Studies*,Computer Science*,Physics*,Chemistry*,Biology*,Geography*,History*,Economics*,Business Studies*,Accounting*,Art*,Music*,Physical Education*,Sindhi*,Arabic*,Total Marks,Obtain Marks,Percentage,Status,Grade,Academic Year
Hafsa Raza,Mr. Abdul,STU-0976,75,33,-,51,-,30,99,63,-,91,-,94,-,66,93,78,12,26,6,-,1400,707,50.50,PASS,D,2024-2025
Elizabeth Gupta,Mr. Omar,24-0977,-,-,34,68,-,23,0,-,39,66,6,65,34,91,18,-,10,-,28,78,1400,821,58.64,PASS,D,2024-2025
Matthew Jones,Mr. Raj,STU-0978,-,43,34,22,-,-,94,11,-,65,-,80,100,-,-,76,-,-,81,90,1100,564,51.27,PASS,D,2024-2025
Michael Ahmed,M. Sunil,2024-0979,-,87,37,32,30,-,66,7,36,-,-,93,-,87,80,97,35,6,15,-,1400,703,50.21,PASS,D,2024-2025
Matthew Huang,Ahmed,2024-0980,-,45,57,93,62,92,25,71,21,56,12,81,63,5,78,69,100,-,35,72,1800,877,48.72,PASS,E,2024-2025
Ahmed Patel,Mr. Hussain,ARTS-0981,55,26,14,45,8,-,-,-,97,72,18,-,-,-,18,48,97,-,70,-,1200,624,52.00,PASS,D,2024-2025
Hafsa Malik,Mr. Abdul,ARTS-0982,37,75,71,-,-,10,-,-,27,89,83,87,-,48,72,17,36,86,80,-,1400,674,48.14,PASS,E,2024-2025
Mohammad Brown,M. James,2024-0983,-,-,-,-,90,66,24,-,-,-,-,98,-,92,39,24,4,-,20,41,1000,421,42.10,PASS,E,2024-2025
David Jones,Mr. Robert,COM-0984,-,86,36,1,29,60,78,2,6,98,59,19,44,52,0,-,-,47,85,50,1700,644,37.88,PASS,E,2024-2025
Mohammad Ahmed,Mr. Hassan,ARTS-0985,-,-,42,18,69,-,-,54,-,6,22,42,85,5,5,70,-,65,83,-,1300,566,43.54,PASS,E,2024-2025
Rabia Garcia,M. Michael,STU-0986,33,33,-,98,84,47,-,-,43,22,12,41,29,-,39,73,45,70,59,80,1600,696,43.50,PASS,E,2024-2025
Usman Davis,M. Abdul,SCI-0987,53,14,35,15,-,67,19,19,90,27,23,60,-,3,-,-,-,31,18,85,1500,519,34.60,PASS,E,2024-2025
Yusuf Brown,Mr. Mohammad,SC-0988,-,42,-,11,72,-,46,5,-,17,77,72,47,24,92,31,3,62,26,-,1500,794,52.93,PASS,D,2024-2025
Jessica Gupta,Michael,2024-0989,40,36,45,33,32,53,94,-,-,2,41,40,15,83,-,31,-,47,40,40,1600,870,54.37,PASS,D,2024-2025
Rabia Qureshi,M. James,STU-0990,20,-,-,12,8,86,21,75,84,20,77,2,62,61,-,65,-,86,89,22,1600,1043,65.19,PASS,C,2024-2025
Bilal Brown,M. Richard,SCI-0991,-,-,16,-,53,56,-,-,12,1,-,90,76,-,32,21,90,55,-,-,1100,579,52.64,PASS,D,2024-2025
Laura Ahmed,M. Joseph,SC-0992,86,-,58,17,26,42,19,-,-,100,12,28,35,-,95,20,-,17,-,-,1300,574,44.15,PASS,E,2024-2025
Sarah Singh,James,2024-0993,89,66,38,57,33,96,48,-,3,49,25,63,11,28,83,21,45,10,-,17,1800,1058,58.78,PASS,D,2024-2025
Maryam Ahmed,Kamran,ARTS-0994,-,-,21,99,69,4,93,86,91,35,58,38,-,96,89,-,45,-,76,-,1400,728,52.00,PASS,D,2024-2025
Usman Yang,Mr. Hassan,SCI-0995,-,-,89,-,-,-,-,100,10,-,35,-,-,86,-,34,-,80,98,-,800,354,44.25,PASS,E,2024-2025
Fatima Jones,M. William,SCI-0996,78,68,20,49,59,-,17,3,90,72,30,35,-,79,33,-,41,20,36,21,1700,930,54.71,PASS,D,2024-2025
Laura Davis,Nadeem,24-0997,44,55,83,-,74,19,4,21,50,-,10,12,-,0,93,35,62,9,63,-,1600,969,60.56,PASS,C,2024-2025
Elizabeth Singh,Ravi,SCI-0998,-,40,57,63,29,45,70,-,-,-,-,2,18,71,-,54,-,70,-,67,1200,631,52.58,PASS,D,2024-2025
Michael Rao,M. Hassan,STU-0999,21,-,12,27,-,17,40,95,-,-,-,93,-,35,64,-,67,6,44,51,1300,631,48.54,PASS,E,2024-2025
Hassan Wilson,M. David,COM-1000,59,-,45,87,85,78,36,-,65,60,-,-,-,-,34,39,25,-,86,75,1300,520,40.00,PASS,E,2024-2025
Sarah Williams,Mr. Richard,COM-1001,-,91,63,84,90,-,96,54,-,20,98,67,47,4,8,18,-,98,3,33,1600,886,55.38,PASS,D,2024-2025
Hassan Li,Michael,SC-1002,-,-,24,-,39,95,23,59,94,14,-,21,97,-,88,-,38,30,59,2,1400,782,55.86,PASS,D,2024-2025
Bilal Brown,M. Manoj,COM-1003,7,-,-,13,22,60,-,-,76,79,6,41,28,-,84,78,14,-,86,18,1400,678,48.43,PASS,E,2024-2025
Rabia Wilson,Mr. David,SC-1004,44,12,40,62,86,-,-,60,87,10,67,-,44,44,76,6,31,-,49,-,1500,805,53.67,PASS,D,2024-2025
Laura Singh,Mr. Michael,2024-1005,16,76,-,8,88,68,31,-,63,-,-,36,-,72,65,-,78,34,-,-,1200,577,48.08,PASS,E,2024-2025
Michael Chen,Mr. Ashok,ARTS-1006,41,16,48,54,-,-,49,47,-,60,60,40,48,83,-,71,-,22,-,97,1400,820,58.57,PASS,D,2024-2025
Jessica Johnson,Manoj,ARTS-1007,-,55,-,67,8,35,53,90,16,30,-,41,18,-,40,-,34,1,31,-,1400,660,47.14,PASS,E,2024-2025
Matthew Reddy,Arun,STU-1008,23,2,5,-,89,49,71,58,64,54,17,-,27,55,52,-,77,91,-,70,1600,894,55.88,PASS,D,2024-2025
Elizabeth Qureshi,Mr. Charles,STU-1009,59,-,-,-,-,-,36,19,80,30,56,1,65,86,60,29,97,95,-,40,1400,491,35.07,PASS,E,2024-2025
Amanda Davis,Mr. William,SC-1010,56,-,52,-,-,57,45,45,-,-,70,77,55,-,52,2,-,77,-,16,1200,600,50.00,PASS,D,2024-2025
Ali Ahmed,M. Sunil,SC-1011,97,65,-,45,95,1,-,26,-,48,27,21,-,40,29,-,-,76,46,93,1400,720,51.43,PASS,D,2024-2025
Michelle Garcia,Charles,SCI-1012,-,-,-,58,41,71,64,75,-,18,-,-,-,-,-,77,18,98,-,14,1000,581,58.10,PASS,D,2024-2025
Elizabeth Rao,Mr. Suresh,STU-1013,-,68,97,86,34,-,-,74,58,4,-,11,47,2,13,24,58,28,-,88,1500,729,48.60,PASS,E,2024-2025
Robert Rao,M. Usman,STU-1014,88,-,4,6,-,63,96,78,-,23,24,66,-,16,10,45,81,84,86,71,1600,751,46.94,PASS,E,2024-2025
Thomas Brown,Mr. James,2024-1015,60,3,-,78,91,94,8,-,71,18,-,28,59,-,61,48,55,-,60,32,1500,856,57.07,PASS,D,2024-2025
Hafsa Khan,Nadeem,24-1016,-,41,84,88,24,-,84,-,32,88,23,-,40,63,32,-,10,-,76,-,1300,448,34.46,PASS,E,2024-2025
Aisha Brown,Raj,COM-1017,-,-,-,94,62,-,14,59,69,15,85,93,-,-,-,35,65,-,8,1,1200,718,59.83,PASS,D,2024-2025
Laura Huang,Richard,SCI-1018,-,42,62,42,85,86,85,8,40,56,47,25,25,-,-,54,6,14,46,67,1700,723,42.53,PASS,E,2024-2025
Elizabeth Mehta,Raj,2024-1019,72,77,62,-,69,84,22,23,85,6,76,28,-,-,100,97,12,51,-,89,1600,832,52.00,PASS,D,2024-2025
Yusuf Wilson,M. Richard,2024-1020,93,-,-,-,44,67,-,11,-,44,17,-,71,49,-,57,24,64,-,-,1100,486,44.18,PASS,E,2024-2025
Nicole Verma,M. Nadeem,COM-1021,-,24,20,-,-,69,38,44,-,53,22,28,37,97,85,50,-,8,-,89,1400,834,59.57,PASS,D,2024-2025
Maryam Raza,Charles,2024-1022,17,98,64,-,-,-,27,-,48,-,-,-,64,-,-,88,68,96,38,79,1100,589,53.55,PASS,D,2024-2025
Sana Chen,M. Mohammad,STU-1023,82,30,-,88,40,57,48,-,-,-,-,-,16,11,100,6,69,-,2,52,1300,640,49.23,PASS,E,2024-2025
Maryam Ali,Mr. Kamran,COM-1024,-,23,-,83,71,87,83,-,-,15,-,87,-,4,100,70,-,87,38,-,1200,522,43.50,PASS,E,2024-2025
Aisha Chen,M. Ali,ARTS-1025,38,-,0,-,83,18,-,-,-,-,93,14,21,-,-,49,26,19,-,36,1100,710,64.55,PASS,C,2024-2025
Michael Garcia,M. James,2024-1026,96,-,7,66,3,-,76,-,31,42,38,39,-,84,52,-,1,-,27,54,1400,743,53.07,PASS,D,2024-2025
Zainab Garcia,Praveen,2024-1027,-,68,74,99,49,68,-,38,45,36,80,20,-,68,26,93,61,27,72,36,1700,641,37.71,PASS,E,2024-2025
Robert Williams,Joseph,SCI-1028,49,-,-,-,-,17,43,39,15,-,38,100,47,-,19,49,46,39,67,0,1400,625,44.64,PASS,E,2024-2025
John Huang,Hassan,STU-1029,-,45,90,84,35,-,10,-,1,7,98,4,-,99,29,-,89,55,63,81,1500,837,55.80,PASS,D,2024-2025
David Ali,Richard,ARTS-1030,6,67,9,92,51,86,86,30,58,65,-,34,81,7,-,-,-,-,93,-,1400,724,51.71,PASS,D,2024-2025
Zain Raza,Mohammad,ARTS-1031,-,57,2,-,38,71,-,32,46,21,44,57,39,6,-,17,-,78,52,28,1500,745,49.67,PASS,E,2024-2025
Nicole Smith,Mr. Anil,SC-1032,86,20,81,96,-,33,63,63,83,43,100,-,70,43,75,-,32,42,29,-,1600,892,55.75,PASS,D,2024-2025
Usman Garcia,M. Hussain,ARTS-1033,57,-,22,-,1,-,32,38,32,-,52,4,-,51,24,-,10,19,11,-,1300,637,49.00,PASS,E,2024-2025
Michael Raza,Mr. Ravi,SCI-1034,88,40,89,47,33,-,91,-,31,41,12,33,27,3,10,51,25,-,37,39,1700,1082,63.65,PASS,C,2024-2025
Zain Huang,Mr. Ali,24-1035,-,65,0,41,84,76,51,50,66,-,90,52,34,8,-,-,31,-,-,68,1400,732,52.29,PASS,D,2024-2025
Hassan Smith,Mr. James,STU-1036,21,94,98,-,-,53,-,23,-,-,66,-,83,81,56,57,68,42,-,88,1300,711,54.69,PASS,D,2024-2025
Elizabeth Rao,Mr. Abdul,COM-1037,59,14,17,2,19,-,26,21,90,48,63,27,-,32,27,73,100,6,23,-,1700,915,53.82,PASS,D,2024-2025
Michael Zhou,M. Charles,SCI-1038,-,36,53,-,28,27,0,-,61,82,38,-,74,62,-,-,54,58,-,69,1300,655,50.38,PASS,D,2024-2025
Sana Qureshi,Mr. Nadeem,SCI-1039,40,29,59,52,56,-,6,22,-,91,94,-,-,73,-,7,18,32,-,13,1400,487,34.79,PASS,E,2024-2025
Fatima Williams,Mr. Vikram,2024-1040,61,11,36,15,17,99,80,86,-,39,99,82,-,10,0,95,25,91,51,92,1800,1068,59.33,PASS,D,2024-2025
William Rao,M. Mohammad,24-1041,79,-,93,37,84,68,90,-,-,90,0,4,66,40,81,15,74,-,75,-,1500,786,52.40,PASS,D,2024-2025
Rabia Chen,M. Suresh,SCI-1042,86,45,48,-,44,-,74,32,48,81,83,57,92,-,100,47,-,72,-,-,1400,653,46.64,PASS,E,2024-2025
Rabia Shah,M. Nadeem,COM-1043,9,87,90,59,59,44,-,74,-,76,6,83,-,-,59,79,-,69,52,-,1400,639,45.64,PASS,E,2024-2025
Rabia Smith,Praveen,ARTS-1044,-,-,75,56,-,19,-,56,81,91,85,-,-,98,18,-,-,91,80,-,1100,447,40.64,PASS,E,2024-2025
Ahmed Rao,Mr. Vikram,SCI-1045,-,-,-,71,26,91,30,69,83,-,43,-,-,82,-,-,68,59,10,68,1200,505,42.08,PASS,E,2024-2025
Ali Wu,Mohammad,STU-1046,-,8,88,50,39,80,12,21,-,-,-,-,-,-,-,59,-,87,79,3,1100,635,57.73,PASS,D,2024-2025
Rabia Zhou,M. Ravi,24-1047,14,24,38,11,53,9,-,56,93,82,99,84,42,71,15,8,-,8,78,-,1700,1089,64.06,PASS,C,2024-2025
Elizabeth Hussain,M. Ravi,2024-1048,35,-,-,-,-,73,-,-,-,70,44,5,-,86,-,-,73,85,22,-,900,376,41.78,PASS,E,2024-2025
Yusuf Rao,M. Thomas,24-1049,98,49,76,8,0,98,98,99,65,-,66,99,-,30,60,36,6,12,68,18,1800,904,50.22,PASS,D,2024-2025
Yusuf Brown,Richard,ARTS-1050,26,-,96,-,-,-,-,-,15,-,-,-,39,43,-,66,26,15,37,50,1000,329,32.90,FAIL,F,2024-2025
Hassan Miller,M. Ravi,STU-1051,66,-,96,44,-,35,4,4,-,45,-,11,-,27,33,47,-,6,69,83,1400,621,44.36,PASS,E,2024-2025
Charles Jones,Mr. Anil,STU-1052,-,28,91,72,64,21,95,25,67,5,72,26,85,-,92,-,-,-,86,53,1500,921,61.40,PASS,C,2024-2025
Zainab Shah,M. Abdul,SCI-1053,25,0,10,64,39,-,3,17,-,-,93,92,-,69,71,-,26,-,0,99,1400,676,48.29,PASS,E,2024-2025
James Raza,Mr. Nadeem,2024-1054,52,-,38,-,31,-,-,55,44,25,64,52,96,65,39,38,13,-,8,-,1400,730,52.14,PASS,D,2024-2025
Robert Garcia,Nadeem,SC-1055,18,20,74,24,67,-,-,87,77,95,97,61,-,40,63,8,29,20,38,16,1700,738,43.41,PASS,E,2024-2025
Sarah Johnson,Mr. Mohammad,24-1056,21,68,11,-,62,13,36,45,85,-,0,34,86,91,-,63,-,89,-,4,1500,646,43.07,PASS,E,2024-2025
Sadia Williams,Vikram,24-1057,35,80,57,93,13,9,55,85,17,-,32,39,88,45,10,-,-,57,-,13,1600,916,57.25,PASS,D,2024-2025
Hassan Baig,Ravi,24-1058,26,77,43,-,61,-,10,-,49,-,87,65,-,53,-,-,85,-,90,75,1200,511,42.58,PASS,E,2024-2025
Amanda Jain,Mr. Hassan,ARTS-1059,33,-,97,12,89,40,-,-,54,-,-,-,66,91,94,68,25,65,-,-,1200,550,45.83,PASS,E,2024-2025
Hussain Wu,Mr. Sunil,SCI-1060,29,-,91,88,-,18,-,-,-,-,71,36,13,-,71,42,51,35,7,95,1300,668,51.38,PASS,D,2024-2025
Robert Wu,Mr. Daniel,SC-1061,-,-,-,56,-,-,57,5,82,57,45,16,90,76,85,93,38,41,10,30,1500,700,46.67,PASS,E,2024-2025
Hassan Shah,M. Omar,ARTS-1062,82,-,68,81,-,-,-,-,73,35,-,-,54,17,23,42,26,73,28,-,1200,542,45.17,PASS,E,2024-2025
Zain Zhang,M. Ahmed,SC-1063,-,76,15,96,35,15,-,72,-,1,33,95,3,11,78,66,60,17,-,-,1500,696,46.40,PASS,E,2024-2025
Hafsa Miller,M. Anil,SC-1064,17,70,50,55,-,43,-,-,81,-,-,1,30,-,34,18,-,74,-,13,1200,543,45.25,PASS,E,2024-2025
Charles Sharma,Ashok,2024-1065,-,67,40,-,-,9,-,46,40,14,72,34,-,85,-,60,2,-,40,-,1200,631,52.58,PASS,D,2024-2025
Zainab Kumar,James,24-1066,40,21,7,94,-,71,75,87,-,-,92,69,27,-,22,23,-,-,71,36,1400,715,51.07,PASS,D,2024-2025
Aisha Baig,Mr. Ali,SC-1067,-,98,-,53,22,45,52,3,96,7,23,-,75,-,-,12,-,2,66,63,1400,678,48.43,PASS,E,2024-2025
Jessica Johnson,Mr. David,COM-1068,98,-,38,80,72,80,50,37,49,72,34,15,44,86,79,53,85,67,51,5,1900,976,51.37,PASS,D,2024-2025
Sarah Verma,M. Suresh,STU-1069,-,92,-,21,98,73,84,37,-,3,90,33,28,75,35,45,83,54,8,35,1700,904,53.18,PASS,D,2024-2025
Zainab Ali,Ahmed,SC-1070,-,72,44,26,40,-,-,91,-,-,66,4,38,43,84,-,-,80,75,-,1200,510,42.50,PASS,E,2024-2025
Maryam Raza,M. Ahmed,2024-1071,74,64,14,82,30,-,0,35,33,-,-,4,97,4,-,98,84,-,39,62,1500,829,55.27,PASS,D,2024-2025
Hafsa Garcia,Michael,24-1072,-,-,81,54,-,-,-,22,-,82,-,100,19,86,78,67,58,-,-,3,1100,625,56.82,PASS,D,2024-2025
Amanda Jones,Manoj,2024-1073,29,56,25,15,29,96,-,83,16,-,70,-,3,17,91,-,-,-,86,25,1400,741,52.93,PASS,D,2024-2025
David Rodriguez,M. James,COM-1074,78,-,94,45,93,22,29,-,42,55,89,12,63,68,-,-,55,1,2,70,1600,769,48.06,PASS,E,2024-2025
Michael Khan,M. Robert,STU-1075,38,47,100,-,75,13,25,45,58,20,2,0,-,14,-,24,30,84,91,36,1700,725,42.65,PASS,E,2024-2025
Zainab Miller,M. Joseph,COM-1076,26,-,79,-,39,56,15,-,-,92,-,95,-,-,66,18,37,19,83,64,1300,739,56.85,PASS,D,2024-2025
Jennifer Rao,Sunil,24-1077,91,25,76,36,60,2,41,64,6,71,92,18,88,25,49,0,-,7,-,-,1700,969,57.00,PASS,D,2024-2025
Matthew Zhou,M. Anil,24-1078,84,86,77,45,32,39,43,90,23,-,39,72,-,21,58,-,42,63,12,31,1700,774,45.53,PASS,E,2024-2025
Stephanie Singh,Kamran,SC-1079,-,68,21,68,98,69,-,-,9,50,-,-,-,0,31,98,13,100,-,34,1300,525,40.38,PASS,E,2024-2025
Mohammad Smith,William,2024-1080,15,-,72,15,-,97,76,24,72,82,2,-,14,-,-,61,18,75,55,-,1400,610,43.57,PASS,E,2024-2025
Amanda Chen,M. Ali,SC-1081,79,79,-,41,0,-,52,28,54,-,52,68,78,48,-,-,-,9,-,16,1300,532,40.92,PASS,E,2024-2025
David Baig,Ravi,STU-1082,11,34,-,46,74,22,31,79,-,19,78,-,1,2,-,47,-,15,96,36,1500,722,48.13,PASS,E,2024-2025
David Davis,William,ARTS-1083,-,36,84,25,79,30,47,70,-,92,6,72,-,-,-,2,39,49,-,-,1300,753,57.92,PASS,D,2024-2025
Rabia Singh,Praveen,SC-1084,60,79,-,94,22,65,-,25,91,98,45,16,25,33,33,92,-,66,-,88,1600,792,49.50,PASS,E,2024-2025
Usman Mehta,Mr. David,24-1085,44,70,0,-,89,21,59,-,16,88,-,-,41,35,48,80,9,-,63,2,1500,716,47.73,PASS,E,2024-2025
Hafsa Reddy,M. Ahmed,STU-1086,58,84,80,75,57,10,17,24,-,47,7,40,50,97,36,92,-,79,63,73,1800,1183,65.72,PASS,C,2024-2025
Robert Mirza,Sunil,COM-1087,77,56,73,41,91,78,1,41,26,31,3,-,38,24,-,31,-,56,43,77,1700,653,38.41,PASS,E,2024-2025
Charles Hussain,Praveen,ARTS-1088,-,-,85,45,-,8,63,-,43,82,4,-,51,69,49,36,-,-,9,-,1200,610,50.83,PASS,D,2024-2025
Amanda Zhang,M. Sunil,SC-1089,76,-,54,-,72,-,16,67,-,53,72,-,17,55,84,71,-,88,64,21,1400,688,49.14,PASS,E,2024-2025
William Kumar,Mr. Raj,SCI-1090,17,11,34,-,80,81,76,61,16,-,-,98,35,25,29,35,81,98,43,-,1600,781,48.81,PASS,E,2024-2025
Laura Baig,Mr. Mohammad,2024-1091,72,57,85,-,-,59,98,27,-,-,48,-,43,49,52,-,-,78,24,33,1300,801,61.62,PASS,C,2024-2025
Zain Ali,Abdul,24-1092,99,96,88,28,84,51,85,7,18,1,10,-,68,67,-,98,-,39,52,59,1700,743,43.71,PASS,E,2024-2025
James Rao,Mr. Usman,ARTS-1093,-,87,-,31,81,15,55,-,-,11,43,12,31,-,-,81,52,-,51,58,1300,795,61.15,PASS,C,2024-2025
Mohammad Wu,Daniel,SCI-1094,53,28,-,66,64,43,24,65,68,84,-,-,-,33,81,79,-,32,11,50,1500,730,48.67,PASS,E,2024-2025
Aisha Mehta,M. Usman,24-1095,38,82,28,99,38,91,98,66,10,69,53,44,33,99,7,48,-,50,-,52,1800,882,49.00,PASS,E,2024-2025
Stephanie Johnson,Mr. Charles,SCI-1096,55,-,93,41,29,100,78,7,13,31,-,49,83,-,87,29,30,15,-,48,1600,805,50.31,PASS,D,2024-2025
Hassan Miller,Mr. Daniel,2024-1097,35,-,57,49,75,-,70,14,-,-,4,-,25,55,-,71,-,72,9,39,1300,716,55.08,PASS,D,2024-2025
Stephanie Zhao,Robert,COM-1098,33,20,29,27,68,-,-,86,13,-,-,-,-,1,-,-,70,-,90,46,1100,331,30.09,FAIL,F,2024-2025
Usman Jain,M. Hussain,COM-1099,85,94,23,66,-,7,37,-,-,45,-,82,-,80,56,-,-,40,14,67,1300,722,55.54,PASS,D,2024-2025
Sarah Mehta,M. Mohammad,SCI-1100,-,88,-,32,71,42,44,14,11,26,-,53,8,63,91,-,86,11,42,-,1500,864,57.60,PASS,D,2024-2025
Bilal Zhou,M. Charles,COM-1101,67,51,-,-,-,-,45,74,14,0,56,32,-,0,-,90,98,-,23,69,1300,701,53.92,PASS,D,2024-2025
Robert Mirza,Mr. Manoj,SCI-1102,30,-,22,77,86,-,44,7,42,77,84,-,7,100,27,92,55,53,-,85,1600,745,46.56,PASS,E,2024-2025
Amanda Qureshi,Kamran,24-1103,41,69,54,-,-,-,71,43,-,6,68,62,-,66,56,24,21,-,10,-,1300,820,63.08,PASS,C,2024-2025
Robert Kumar,M. Praveen,2024-1104,43,-,-,-,16,-,98,52,-,82,43,-,100,4,-,-,41,11,-,-,1000,559,55.90,PASS,D,2024-2025
Robert Zhao,Mr. Nadeem,24-1105,21,52,-,-,83,17,77,13,-,-,20,-,84,66,-,-,20,7,5,20,1300,668,51.38,PASS,D,2024-2025
Nicole Johnson,Mr. Hassan,SC-1106,25,15,38,63,-,31,17,-,9,0,55,-,62,30,-,-,52,80,-,30,1400,598,42.71,PASS,E,2024-2025
Zain Li,M. Hassan,ARTS-1107,96,85,36,-,14,-,-,56,49,5,-,-,-,99,-,-,9,-,-,87,1000,457,45.70,PASS,E,2024-2025
Hira Ali,Charles,2024-1108,56,-,56,30,47,54,92,69,-,52,-,28,59,-,77,34,9,55,43,28,1600,867,54.19,PASS,D,2024-2025
Yusuf Kumar,David,2024-1109,-,84,-,76,86,38,91,-,12,40,-,35,48,-,87,86,14,86,7,2,1500,755,50.33,PASS,D,2024-2025
Noor Raza,Mr. Ashok,24-1110,79,-,71,-,61,68,7,71,68,57,77,91,94,-,-,-,19,40,23,67,1500,741,49.40,PASS,E,2024-2025
Elizabeth Miller,Hussain,COM-1111,69,90,68,36,19,69,-,61,-,9,98,55,36,-,40,-,-,12,10,57,1500,870,58.00,PASS,D,2024-2025
Charles Chen,Sunil,SCI-1112,-,-,97,40,-,48,52,-,78,28,-,6,-,-,88,57,25,-,-,25,1100,517,47.00,PASS,E,2024-2025
Hafsa Liu,Mr. Ravi,24-1113,30,-,18,17,59,83,33,80,95,-,91,88,6,29,50,-,-,13,96,-,1500,912,60.80,PASS,C,2024-2025
Rabia Yang,Mr. Robert,COM-1114,16,13,73,1,-,10,82,31,35,65,81,-,66,95,69,-,-,92,25,-,1500,602,40.13,PASS,E,2024-2025
Hassan Rodriguez,Anil,24-1115,77,-,5,-,26,61,-,80,-,1,2,37,21,89,29,99,91,-,82,-,1400,832,59.43,PASS,D,2024-2025
Omar Li,M. William,STU-1116,73,-,-,-,-,72,84,-,15,54,2,49,92,71,-,-,-,44,82,-,1100,393,35.73,PASS,E,2024-2025
Amanda Rodriguez,Praveen,ARTS-1117,42,74,63,13,6,9,10,42,97,13,-,-,96,55,-,-,26,30,75,14,1600,606,37.88,PASS,E,2024-2025
Elizabeth Davis,M. Richard,COM-1118,78,85,65,61,14,-,82,-,69,31,77,37,1,92,6,14,95,99,28,74,1800,1060,58.89,PASS,D,2024-2025
Ali Mirza,M. Joseph,24-1119,-,93,-,58,91,45,-,68,16,16,-,99,0,8,91,-,20,40,82,46,1500,738,49.20,PASS,E,2024-2025
Hira Brown,Sunil,COM-1120,87,-,-,55,69,-,-,10,85,70,50,-,49,40,-,63,80,-,39,77,1300,545,41.92,PASS,E,2024-2025
Aisha Brown,M. Charles,2024-1121,42,63,-,86,18,44,58,-,27,71,-,26,1,-,64,47,20,-,39,73,1500,744,49.60,PASS,E,2024-2025
Sana Ali,Ashok,STU-1122,97,-,-,99,-,-,23,39,69,48,3,98,-,68,-,70,-,99,-,41,1200,599,49.92,PASS,E,2024-2025
Elizabeth Shah,Sunil,COM-1123,24,99,44,61,-,-,59,10,-,16,82,15,99,23,24,46,-,21,22,9,1600,1112,69.50,PASS,C,2024-2025
Fatima Garcia,M. Abdul,ARTS-1124,-,-,14,-,-,54,27,37,-,73,97,9,-,-,93,-,-,-,58,71,1000,547,54.70,PASS,D,2024-2025
Sadia Zhao,M. Omar,24-1125,55,73,47,78,59,58,18,80,-,48,58,0,85,-,48,-,-,81,3,-,1500,661,44.07,PASS,E,2024-2025
Fatima Reddy,Ravi,24-1126,1,34,74,33,7,76,65,-,-,25,97,25,19,-,70,-,29,-,8,87,1500,878,58.53,PASS,D,2024-2025
Rabia Baig,Suresh,COM-1127,-,76,33,-,-,2,57,63,88,13,24,54,50,-,-,69,48,80,80,78,1500,750,50.00,PASS,D,2024-2025
Robert Li,Mr. Anil,24-1128,-,-,64,72,-,-,5,25,-,-,-,-,35,82,81,46,27,-,33,92,1100,487,44.27,PASS,E,2024-2025
Stephanie Malik,Joseph,2024-1129,25,-,-,60,84,35,43,84,18,42,35,-,-,51,-,33,39,65,44,28,1500,589,39.27,PASS,E,2024-2025
Ali Johnson,M. Ahmed,STU-1130,56,-,-,35,28,57,92,44,67,57,81,68,-,66,-,81,-,38,33,78,1500,995,66.33,PASS,C,2024-2025
Zain Verma,Mr. Mohammad,24-1131,90,54,95,-,41,98,53,-,-,81,54,-,-,34,18,97,55,37,81,-,1400,596,42.57,PASS,E,2024-2025
Yusuf Patel,M. Thomas,ARTS-1132,-,67,55,75,39,57,70,40,66,37,48,-,-,3,24,60,-,11,99,51,1600,850,53.13,PASS,D,2024-2025
Matthew Baig,David,COM-1133,-,52,23,100,2,45,-,40,24,70,12,67,-,99,78,48,1,98,-,-,1500,807,53.80,PASS,D,2024-2025
Michelle Wang,Praveen,SCI-1134,29,32,10,85,43,33,73,84,84,49,56,51,-,69,86,6,62,97,87,27,1900,1084,57.05,PASS,D,2024-2025
Matthew Mehta,Daniel,STU-1135,12,3,84,67,45,-,-,-,18,14,70,55,18,98,-,27,-,77,39,-,1400,702,50.14,PASS,D,2024-2025
Laura Johnson,Ravi,SC-1136,56,99,79,85,19,-,22,68,-,-,98,-,-,64,10,24,45,26,55,-,1400,591,42.21,PASS,E,2024-2025
Mohammad Qureshi,M. Hassan,24-1137,-,-,22,67,-,77,43,-,-,-,38,66,30,23,41,51,39,70,-,-,1200,636,53.00,PASS,D,2024-2025
Michelle Chen,M. Sunil,SCI-1138,-,35,75,80,-,3,26,-,59,37,81,66,49,-,-,1,66,34,36,14,1500,665,44.33,PASS,E,2024-2025
James Liu,M. Charles,SC-1139,93,28,-,68,27,7,72,83,96,22,-,-,82,-,35,57,31,13,35,41,1600,413,25.81,FAIL,F,2024-2025
Emily Malik,Mr. Joseph,COM-1140,-,28,-,65,35,70,-,-,45,64,73,56,23,-,75,60,87,94,77,60,1500,855,57.00,PASS,D,2024-2025
Stephanie Malik,Mr. Ali,STU-1141,31,-,14,85,48,-,25,-,82,79,94,71,-,76,60,56,41,-,-,78,1400,600,42.86,PASS,E,2024-2025
Zain Mehta,M. Michael,24-1142,75,85,27,86,92,27,12,21,78,97,100,-,90,2,41,82,1,88,-,-,1700,829,48.76,PASS,E,2024-2025
Elizabeth Mehta,M. Omar,COM-1143,79,65,83,65,18,85,65,19,77,-,74,46,-,23,-,-,30,64,54,62,1600,772,48.25,PASS,E,2024-2025
